Suburb,Address,Price,Bedrooms,Bathrooms,Parkings
kingsford,67 Houston Rd KINGSFORD NSW 2032,800,3,1,
kingsford,7 45-49 KINGSFORD NSW 2032,680,,,
kingsford,32 Rainbow Street KINGSFORD NSW 2032,620,,,
kingsford,1/543 Anzac Parade KINGSFORD NSW 2032,620,2,1,
kingsford,1/3 Barker Street KINGSFORD NSW 2032,600,2,1,
kingsford,4/3 Barker Street KINGSFORD NSW 2032,600,2,1,
kingsford,101 Houston Rd KINGSFORD NSW 2032,70,,,
strathfield,587 Liverpool Road STRATHFIELD NSW 2135,850,7,2,1
strathfield,79 Arthur Street STRATHFIELD NSW 2135,680,3,2,2
strathfield,39/1-3 Beresford Road STRATHFIELD NSW 2135,600,2,2,2
strathfield,403/23-25 Churchill Avenue STRATHFIELD NSW 2135,570,1,1,1
strathfield,5/530 Liverpool Road STRATHFIELD NSW 2135,680,3,2,2
strathfield,9 Everton Road STRATHFIELD NSW 2135,,3,1,1
strathfield,108/549-557 Liverpool Road STRATHFIELD NSW 2135,545,2,2,1
strathfield,6/367 Liverpool  Road STRATHFIELD NSW 2135,490,2,1,1
strathfield,2 NOBLE AVENUE STRATHFIELD NSW 2135,450,2,1,1
strathfield,1 Allenby Cres STRATHFIELD NSW 2135,680,3,2,2
strathfield,17 Manson Road STRATHFIELD NSW 2135,670,4,1,3
strathfield,1/4 Burlington Road STRATHFIELD NSW 2135,750,3,2,2
strathfield,195/20-34 Albert Road STRATHFIELD NSW 2135,650,2,2,2
strathfield,72a Highgate Street STRATHFIELD NSW 2135,580,3,1,
strathfield,10/276-280 Liverpool Road STRATHFIELD NSW 2135,500,2,2,2
strathfield,9/38-40 Swan  Avenue STRATHFIELD NSW 2135,680,3,2,2
strathfield,204/23-25 churchill ave STRATHFIELD NSW 2135,550,1,1,1
strathfield,Lot 11/43 Mackenzie St STRATHFIELD NSW 2135,1100,4,3,2
strathfield,2 Manson Road STRATHFIELD NSW 2135,920,3,1,4
strathfield,33 Cave Road STRATHFIELD NSW 2135,760,3,1,2
strathfield,22 Noble Street STRATHFIELD NSW 2135,750,3,1,1
strathfield,15/1 Hilts Road STRATHFIELD NSW 2135,710,2,2,1
strathfield,7/6-8 Russell Street STRATHFIELD NSW 2135,700,3,2,1
strathfield,53/5-7 Beresford Road STRATHFIELD NSW 2135,640,2,2,1
strathfield,6 Manson  Road STRATHFIELD NSW 2135,610,2,1,
strathfield,101/34 Willee Street STRATHFIELD NSW 2135,600,2,2,1
strathfield,806/9-13 Parnell Street STRATHFIELD NSW 2135,600,1,1,1
strathfield,20/1 Clarence Street STRATHFIELD NSW 2135,575,2,2,1
strathfield,6/76 The Boulevard STRATHFIELD NSW 2135,550,2,1,1
strathfield,101/23 Churchill Avenue STRATHFIELD NSW 2135,520,1,1,1
strathfield,12/34 Russell  Street STRATHFIELD NSW 2135,470,2,1,
strathfield,12/427 Liverpool Road STRATHFIELD NSW 2135,450,2,1,1
strathfield,20/10-12 Roberts Street STRATHFIELD NSW 2135,400,,1,
strathfield,36/10-12 Roberts Road STRATHFIELD NSW 2135,400,,1,1
strathfield,65 Oxford Road STRATHFIELD NSW 2135,1100,6,3,2
strathfield,57 Redmyre Road STRATHFIELD NSW 2135,1055,5,2,2
strathfield,801/23 Churchill Avenue STRATHFIELD NSW 2135,950,3,2,1
strathfield,4 Gees Avenue STRATHFIELD NSW 2135,900,4,2,5
strathfield,41B Rickard Rd STRATHFIELD NSW 2135,,4,2,1
strathfield,41B Rickard Road STRATHFIELD NSW 2135,850,4,2,1
strathfield,10/55 Manson Road STRATHFIELD NSW 2135,820,4,2,2
strathfield,2 Chalmers Road STRATHFIELD NSW 2135,800,3,1,2
strathfield,127 Albert Road STRATHFIELD NSW 2135,750,4,2,1
strathfield,10/1-4 The Crescent STRATHFIELD NSW 2135,720,3,2,2
strathfield,605/23 Churchill Avenue STRATHFIELD NSW 2135,720,2,2,1
strathfield,1105/29 Morwick Street STRATHFIELD NSW 2135,720,2,2,1
strathfield,808/9-13 PARNELL STRATHFIELD NSW 2135,700,2,1,1
strathfield,34/38-40 Albert Road STRATHFIELD NSW 2135,700,2,2,1
strathfield,75/1-3 Clarence Street STRATHFIELD NSW 2135,680,3,2,2
strathfield,5/530-532 Liverpool Road STRATHFIELD NSW 2135,680,3,2,2
strathfield,603/9-13 Parnell Street STRATHFIELD NSW 2135,680,2,2,1
strathfield,68/48 Cooper Street STRATHFIELD NSW 2135,650,2,2,1
strathfield,14J/30-34 Churchill  Avenue STRATHFIELD NSW 2135,650,2,1,1
strathfield,401/7-9 Churchill Ave Avenue STRATHFIELD NSW 2135,650,2,2,1
strathfield,68/235 Homebush Road STRATHFIELD NSW 2135,650,2,2,2
strathfield,128/1 Clarence Street STRATHFIELD NSW 2135,630,2,2,1
strathfield,2BED/8 parramatta rd STRATHFIELD NSW 2135,620,2,2,1
strathfield,612/8 Parramatta Rd STRATHFIELD NSW 2135,620,2,2,1
strathfield,6/45 The Boulevarde STRATHFIELD NSW 2135,610,2,2,2
strathfield,29A Philip St STRATHFIELD NSW 2135,600,2,1,1
strathfield,34/9-13 Beresford Road STRATHFIELD NSW 2135,600,2,1,1
strathfield,122/1 Clarence St STRATHFIELD NSW 2135,580,2,2,1
strathfield,20/1 Clarence Street STRATHFIELD NSW 2135,11,2,2,1
strathfield,13/530 Liverpool Road STRATHFIELD NSW 2135,,2,2,2
strathfield,72 Highgate Street STRATHFIELD NSW 2135,570,3,1,
strathfield,13/132 Wallis Avenue STRATHFIELD NSW 2135,550,3,1,1
strathfield,5A Oxford Street STRATHFIELD NSW 2135,,2,1,1
strathfield,11/29 ALBERT ROAD STRATHFIELD NSW 2135,550,2,1,1
strathfield,8/18-22 Beresford Road STRATHFIELD NSW 2135,540,2,2,2
strathfield,383 Liverpool Road STRATHFIELD NSW 2135,525,2,1,1
strathfield,908/39 Cooper Street STRATHFIELD NSW 2135,520,1,1,1
strathfield,90-96 Wentworth Road STRATHFIELD NSW 2135,510,2,1,1
strathfield,501/5-7 Albert Road STRATHFIELD NSW 2135,500,1,1,1
strathfield,3/14 Everton Road STRATHFIELD NSW 2135,490,2,1,1
strathfield,809/39 Cooper  Street STRATHFIELD NSW 2135,490,1,1,1
strathfield,605/39 Cooper Street STRATHFIELD NSW 2135,485,1,1,1
strathfield,308/34 Willee Street STRATHFIELD NSW 2135,480,1,1,1
strathfield,308/34 Willee Street STRATHFIELD NSW 2135,480,1,1,1
strathfield,28 Russell Street STRATHFIELD NSW 2135,480,2,1,1
strathfield,30 Beresford Rd STRATHFIELD NSW 2135,480,2,1,1
strathfield,10/9-13 Beresford Road STRATHFIELD NSW 2135,,1,1,
strathfield,1/20 Homebush  Road STRATHFIELD NSW 2135,490,1,1,1
