Suburb,Address,Price,Bedrooms,Bathrooms,Parkings,Latitude,Longitude,Distance_to_CBD,Distance_to_station
waterloo,310/8 Sam Sing Street WATERLOO NSW 2017,1000000,2,2,1,-33.9027939,151.210541,3312.671489383132,375.7520684085894
waterloo,10601/5 Sam Sing Street WATERLOO NSW 2017,998000,2,2,1,-33.902832,151.210831,3320.282869509832,375.34215712022535
waterloo,52-54 O’dea AVE WATERLOO NSW 2017,,2,2,1,-33.9027367,151.212952,3341.3269801399815,389.57035887478025
waterloo,501/20 Dunkerley Place WATERLOO NSW 2017,970000,2,2,1,-33.902195,151.209015,3231.99739733114,372.19034040174176
waterloo,WATERLOO NSW 2017,959000,2,2,1,-33.9004,151.206635,3022.129265544807,450.43176744898153
waterloo,52 O'Dea ave WATERLOO NSW 2017,,2,2,1,-33.90362,151.212143,3424.6045066547204,464.7400387998266
waterloo,403/11a Lachlan Street WATERLOO NSW 2017,950000,2,2,1,-33.9009933,151.211792,3131.8895866448615,172.27652533639903
waterloo,257/10 Lachlan St WATERLOO NSW 2017,,2,2,1,-33.9007072,151.213989,3141.420385626761,277.2741627160278
waterloo,111/804 Bourke St WATERLOO NSW 2017,928000,2,2,1,-33.89814,151.212524,2833.769470904408,182.46813178942102
waterloo,Level 7  309/8 Lachlan Street WATERLOO NSW 2017,,2,2,1,-33.9003944,151.21373,3102.152719704652,240.0726149164429
waterloo,1102/6 Lachlan Street WATERLOO NSW 2017,920000,2,2,1,-33.9005,151.2125,3089.808362182554,153.60735186674515
waterloo,169 Botany Road WATERLOO NSW 2017,913000,2,2,1,-33.9004364,151.201035,3062.0704679182963,962.5307204896658
waterloo,227/806 Bourke Street WATERLOO NSW 2017,899000,2,2,1,-33.8985634,151.2119,2868.3834688882566,112.45150207273664
waterloo,15/8 Allen Street WATERLOO NSW 2017,,2,1,1,-33.9029236,151.202728,3316.5058653005176,886.6040397199807
waterloo,40 McEvoy Street WATERLOO NSW 2017,899000,2,2,1,-33.90099,151.20369,3095.3349277021953,730.5681434827447
