Suburb,Address,Price,Bedrooms,Bathrooms,Parkings
strathfield,86 NICHOLSON STREET STRATHFIELD NSW 2135,,6,8,6
strathfield,29 Cotswold Road STRATHFIELD NSW 2135,,5,3,4
strathfield,108 Beresford Road STRATHFIELD NSW 2135,,5,2,2
strathfield,5 Florence Street STRATHFIELD NSW 2135,,6,5,2
strathfield,43 Russell Street STRATHFIELD NSW 2135,3250000,8,8,7
strathfield,15 Amaroo Avenue STRATHFIELD NSW 2135,,5,5,2
strathfield,26 Wakeford  Road STRATHFIELD NSW 2135,,5,4,3
strathfield,31 Fraser Street STRATHFIELD NSW 2135,,4,2,2
strathfield,5 Mount  Street STRATHFIELD NSW 2135,,4,2,4
strathfield,31 Philip Street STRATHFIELD NSW 2135,,4,1,1
strathfield,2 The Close STRATHFIELD NSW 2135,,4,2,2
strathfield,3 Wilson Street STRATHFIELD NSW 2135,2000000,3,1,2
strathfield,37 FITZGERALD CRESCENT STRATHFIELD NSW 2135,1700000,3,1,2
strathfield,11/14-20 Russell Street STRATHFIELD NSW 2135,,3,2,2
strathfield,11/9 Everton Road STRATHFIELD NSW 2135,,2,1,1
strathfield,4 WEST STREET STRATHFIELD NSW 2135,,5,4,2
strathfield,51 Merley Road STRATHFIELD NSW 2135,,4,2,4
strathfield,39/1-3 Beresford Road STRATHFIELD NSW 2135,700000,2,2,2
strathfield,19/548 Liverpool Rd STRATHFIELD NSW 2135,,2,2,1
strathfield,9/4 Parnell Street STRATHFIELD NSW 2135,549000,1,1,
strathfield,6/20 Morwick Street STRATHFIELD NSW 2135,545000,1,1,
strathfield,STRATHFIELD NSW 2135,,3,2,2
strathfield,STRATHFIELD NSW 2135,,2,2,1
strathfield,STRATHFIELD NSW 2135,,1,1,1
strathfield,203/39 Cooper  Street STRATHFIELD NSW 2135,749000,2,2,1
strathfield,G.04/235 HOMEBUSH Road STRATHFIELD NSW 2135,650000,1,2,1
strathfield,1/8-10 Elva Street STRATHFIELD NSW 2135,,2,2,1
strathfield,501/9-13 Parnell Street STRATHFIELD NSW 2135,,2,2,1
strathfield,23 WALLIS AVENUE STRATHFIELD NSW 2135,,6,4,2
strathfield,Llandilo Avenue STRATHFIELD NSW 2135,,5,3,2
strathfield,37 Barker  Road STRATHFIELD NSW 2135,,6,3,4
strathfield,54 Wallis Avenue STRATHFIELD NSW 2135,2950000,4,3,2
strathfield,25 Karuah Street STRATHFIELD NSW 2135,,5,3,4
strathfield,a Florence Street STRATHFIELD NSW 2135,,5,2,2
strathfield,2 Broughton Rd STRATHFIELD NSW 2135,,5,4,2
strathfield,5 Emu Street STRATHFIELD NSW 2135,,4,1,3
strathfield,6 Highfield Crescent STRATHFIELD NSW 2135,,3,1,2
strathfield,15 Mintaro Avenue STRATHFIELD NSW 2135,,4,2,2
strathfield,XX Centenary Street STRATHFIELD NSW 2135,,3,3,1
strathfield,257 Homebush Road STRATHFIELD NSW 2135,1650000,3,2,1
strathfield,74/235 homebush road STRATHFIELD NSW 2135,,2,2,2
strathfield,198/1-3 Beresford Rd STRATHFIELD NSW 2135,,2,2,2
strathfield,5 Morwick Street STRATHFIELD NSW 2135,,2,1,1
strathfield,7.04/235 HOMEBUSH Road STRATHFIELD NSW 2135,970000,2,2,1
